"Participant.ID","class_number","Foundational","PopEco","Quant","group_5","group_3","group_4","metric","time","score","time_numeric","student_id"
"22192819",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Math Skills","pre",2.75,0,"22192819"
"22192819",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Math Skills","post",3.75,1,"22192819"
"22192819",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Computing","pre",1.75,0,"22192819"
"22192819",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Computing","post",2.91666666666667,1,"22192819"
"22660ef5",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Anxiety","pre",3.5,0,"22660ef5"
"22660ef5",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Anxiety","post",4,1,"22660ef5"
"22660ef5",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Math Skills","pre",2.625,0,"22660ef5"
"22660ef5",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Math Skills","post",4,1,"22660ef5"
"22660ef5",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Computing","pre",1,0,"22660ef5"
"22660ef5",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Computing","post",3.25,1,"22660ef5"
"24ef6bbc",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Anxiety","pre",2,0,"24ef6bbc"
"24ef6bbc",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Anxiety","post",2.5,1,"24ef6bbc"
"24ef6bbc",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Math Skills","pre",3,0,"24ef6bbc"
"24ef6bbc",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Math Skills","post",3.625,1,"24ef6bbc"
"24ef6bbc",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Computing","pre",2.91666666666667,0,"24ef6bbc"
"24ef6bbc",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Computing","post",3.41666666666667,1,"24ef6bbc"
"24ef6bbc",2,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Anxiety","pre",1.5,0,"24ef6bbc"
"24ef6bbc",2,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Anxiety","post",2.5,1,"24ef6bbc"
"24ef6bbc",2,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Math Skills","pre",2.75,0,"24ef6bbc"
"24ef6bbc",2,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Math Skills","post",3.375,1,"24ef6bbc"
"24ef6bbc",2,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Computing","pre",2.66666666666667,0,"24ef6bbc"
"24ef6bbc",2,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Computing","post",3.16666666666667,1,"24ef6bbc"
"30e0cd63",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","None","Anxiety","pre",4,0,"30e0cd63"
"30e0cd63",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","None","Anxiety","post",4.5,1,"30e0cd63"
"30e0cd63",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","None","Math Skills","pre",4.75,0,"30e0cd63"
"30e0cd63",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","None","Math Skills","post",4.875,1,"30e0cd63"
"30e0cd63",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","None","Computing","pre",4.5,0,"30e0cd63"
"30e0cd63",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","None","Computing","post",4.75,1,"30e0cd63"
"328dda81",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Anxiety","pre",3,0,"328dda81"
"328dda81",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Anxiety","post",5,1,"328dda81"
"328dda81",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Math Skills","pre",1.375,0,"328dda81"
"328dda81",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Math Skills","post",3.5,1,"328dda81"
"328dda81",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Computing","pre",1,0,"328dda81"
"328dda81",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Computing","post",4.25,1,"328dda81"
"38321992",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational before advanced","Anxiety","pre",2,0,"38321992"
"38321992",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational before advanced","Anxiety","post",3.5,1,"38321992"
"38321992",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational before advanced","Math Skills","pre",2.25,0,"38321992"
"38321992",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational before advanced","Math Skills","post",3.625,1,"38321992"
"38321992",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational before advanced","Computing","pre",2.5,0,"38321992"
"38321992",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational before advanced","Computing","post",3.58333333333333,1,"38321992"
"398f5a9b",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Anxiety","pre",2.5,0,"398f5a9b"
"398f5a9b",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Anxiety","post",3,1,"398f5a9b"
"398f5a9b",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Math Skills","pre",2.375,0,"398f5a9b"
"398f5a9b",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Math Skills","post",2.5,1,"398f5a9b"
"398f5a9b",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Computing","pre",1.45454545454545,0,"398f5a9b"
"398f5a9b",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Computing","post",3.18181818181818,1,"398f5a9b"
